nohup: ignoring input
Loading /home/shiyan/project/gnn4lp/data/cora/cora.cites node cites dataset...
Loading /home/shiyan/project/gnn4lp/data/cora/cora.content node features dataset...
create model ...
start training...
Epoch: 0001 train_loss =  2.16067 val_roc_score =  0.72481 average_precision_score =  0.74354 time= 0.04776
Epoch: 0002 train_loss =  2.10072 val_roc_score =  0.65016 average_precision_score =  0.67960 time= 0.03905
Epoch: 0003 train_loss =  2.04509 val_roc_score =  0.65950 average_precision_score =  0.69027 time= 0.03963
Epoch: 0004 train_loss =  1.99036 val_roc_score =  0.62757 average_precision_score =  0.66237 time= 0.03847
Epoch: 0005 train_loss =  1.92967 val_roc_score =  0.64154 average_precision_score =  0.67343 time= 0.03850
Epoch: 0006 train_loss =  1.86414 val_roc_score =  0.62966 average_precision_score =  0.67918 time= 0.03746
Epoch: 0007 train_loss =  1.80124 val_roc_score =  0.64190 average_precision_score =  0.67808 time= 0.03720
Epoch: 0008 train_loss =  1.72984 val_roc_score =  0.61995 average_precision_score =  0.66861 time= 0.03873
Epoch: 0009 train_loss =  1.65252 val_roc_score =  0.64653 average_precision_score =  0.68191 time= 0.03896
Epoch: 0010 train_loss =  1.57071 val_roc_score =  0.64172 average_precision_score =  0.69681 time= 0.03882
Epoch: 0011 train_loss =  1.49088 val_roc_score =  0.65152 average_precision_score =  0.69175 time= 0.03811
Epoch: 0012 train_loss =  1.41949 val_roc_score =  0.62939 average_precision_score =  0.68060 time= 0.03804
Epoch: 0013 train_loss =  1.34840 val_roc_score =  0.64943 average_precision_score =  0.68710 time= 0.03935
Epoch: 0014 train_loss =  1.28724 val_roc_score =  0.63991 average_precision_score =  0.69033 time= 0.03959
Epoch: 0015 train_loss =  1.23372 val_roc_score =  0.61497 average_precision_score =  0.68407 time= 0.03931
Epoch: 0016 train_loss =  1.19181 val_roc_score =  0.64163 average_precision_score =  0.69298 time= 0.03891
Epoch: 0017 train_loss =  1.14531 val_roc_score =  0.63084 average_precision_score =  0.68399 time= 0.03805
