nohup: ignoring input
Loading /home/shiyan/project/gnn4lp/data/cora/cora.cites node cites dataset...
Loading /home/shiyan/project/gnn4lp/data/cora/cora.content node features dataset...
create model ...
start training...
Epoch: 0001 train_loss =  1.90759 val_roc_score =  0.70286 average_precision_score =  0.69555 time= 0.04815
Epoch: 0002 train_loss =  1.81142 val_roc_score =  0.71592 average_precision_score =  0.71116 time= 0.03904
Epoch: 0003 train_loss =  1.81881 val_roc_score =  0.68454 average_precision_score =  0.71526 time= 0.03841
Epoch: 0004 train_loss =  1.77262 val_roc_score =  0.65805 average_precision_score =  0.68893 time= 0.03805
Epoch: 0005 train_loss =  1.78159 val_roc_score =  0.69084 average_precision_score =  0.71615 time= 0.03721
Epoch: 0006 train_loss =  1.70737 val_roc_score =  0.66218 average_precision_score =  0.68634 time= 0.03657
Epoch: 0007 train_loss =  1.68014 val_roc_score =  0.68689 average_precision_score =  0.69679 time= 0.03633
Epoch: 0008 train_loss =  1.63920 val_roc_score =  0.65596 average_precision_score =  0.68974 time= 0.03624
Epoch: 0009 train_loss =  1.55161 val_roc_score =  0.63070 average_precision_score =  0.67096 time= 0.03718
Epoch: 0010 train_loss =  1.48570 val_roc_score =  0.68236 average_precision_score =  0.71236 time= 0.03709
Epoch: 0011 train_loss =  1.47857 val_roc_score =  0.64308 average_precision_score =  0.67310 time= 0.03759
Epoch: 0012 train_loss =  1.35789 val_roc_score =  0.66766 average_precision_score =  0.69101 time= 0.03793
Epoch: 0013 train_loss =  1.31881 val_roc_score =  0.68952 average_precision_score =  0.70638 time= 0.03786
Epoch: 0014 train_loss =  1.23091 val_roc_score =  0.68580 average_precision_score =  0.71732 time= 0.03775
Epoch: 0015 train_loss =  1.13813 val_roc_score =  0.67891 average_precision_score =  0.70144 time= 0.03764
Epoch: 0016 train_loss =  1.06953 val_roc_score =  0.69052 average_precision_score =  0.70578 time= 0.03790
Epoch: 0017 train_loss =  1.00591 val_roc_score =  0.69102 average_precision_score =  0.71008 time= 0.03828
Epoch: 0018 train_loss =  0.93366 val_roc_score =  0.66744 average_precision_score =  0.68841 time= 0.03944
Epoch: 0019 train_loss =  0.86807 val_roc_score =  0.69451 average_precision_score =  0.70611 time= 0.03882
Epoch: 0020 train_loss =  0.81643 val_roc_score =  0.65465 average_precision_score =  0.67824 time= 0.03824
Epoch: 0021 train_loss =  0.78687 val_roc_score =  0.65506 average_precision_score =  0.67562 time= 0.03814
Epoch: 0022 train_loss =  0.75053 val_roc_score =  0.65823 average_precision_score =  0.67522 time= 0.03802
Epoch: 0023 train_loss =  0.74012 val_roc_score =  0.68880 average_precision_score =  0.70107 time= 0.03802
Epoch: 0024 train_loss =  0.72139 val_roc_score =  0.69134 average_precision_score =  0.70040 time= 0.03827
Epoch: 0025 train_loss =  0.71293 val_roc_score =  0.68862 average_precision_score =  0.68389 time= 0.03828
Epoch: 0026 train_loss =  0.71299 val_roc_score =  0.66921 average_precision_score =  0.69522 time= 0.03807
Epoch: 0027 train_loss =  0.71386 val_roc_score =  0.66286 average_precision_score =  0.68523 time= 0.03742
Epoch: 0028 train_loss =  0.71174 val_roc_score =  0.65451 average_precision_score =  0.66193 time= 0.03714
Epoch: 0029 train_loss =  0.71256 val_roc_score =  0.66630 average_precision_score =  0.70958 time= 0.03681
Epoch: 0030 train_loss =  0.71073 val_roc_score =  0.68009 average_precision_score =  0.71079 time= 0.03775
Epoch: 0031 train_loss =  0.71170 val_roc_score =  0.65125 average_precision_score =  0.68216 time= 0.03780
Epoch: 0032 train_loss =  0.71470 val_roc_score =  0.70440 average_precision_score =  0.71210 time= 0.03775
Epoch: 0033 train_loss =  0.71125 val_roc_score =  0.67601 average_precision_score =  0.70457 time= 0.03692
Epoch: 0034 train_loss =  0.70994 val_roc_score =  0.67025 average_precision_score =  0.69915 time= 0.03675
Epoch: 0035 train_loss =  0.71315 val_roc_score =  0.69043 average_precision_score =  0.70057 time= 0.03684
Epoch: 0036 train_loss =  0.71084 val_roc_score =  0.62712 average_precision_score =  0.64490 time= 0.03729
Epoch: 0037 train_loss =  0.71346 val_roc_score =  0.68163 average_precision_score =  0.70401 time= 0.03684
Epoch: 0038 train_loss =  0.71054 val_roc_score =  0.64526 average_precision_score =  0.67560 time= 0.03775
Epoch: 0039 train_loss =  0.70768 val_roc_score =  0.65760 average_precision_score =  0.69302 time= 0.03767
Epoch: 0040 train_loss =  0.71216 val_roc_score =  0.66059 average_precision_score =  0.68810 time= 0.03768
Epoch: 0041 train_loss =  0.70783 val_roc_score =  0.65043 average_precision_score =  0.67614 time= 0.03783
Epoch: 0042 train_loss =  0.70957 val_roc_score =  0.71846 average_precision_score =  0.72377 time= 0.03762
Epoch: 0043 train_loss =  0.70735 val_roc_score =  0.66431 average_precision_score =  0.69081 time= 0.03734
Epoch: 0044 train_loss =  0.70479 val_roc_score =  0.68880 average_precision_score =  0.70344 time= 0.03844
Epoch: 0045 train_loss =  0.70472 val_roc_score =  0.68218 average_precision_score =  0.67413 time= 0.03829
Epoch: 0046 train_loss =  0.70318 val_roc_score =  0.70340 average_precision_score =  0.71368 time= 0.03751
Epoch: 0047 train_loss =  0.70154 val_roc_score =  0.69297 average_precision_score =  0.71133 time= 0.03750
Epoch: 0048 train_loss =  0.69879 val_roc_score =  0.65170 average_precision_score =  0.67716 time= 0.03723
Epoch: 0049 train_loss =  0.69353 val_roc_score =  0.63683 average_precision_score =  0.65882 time= 0.03699
Epoch: 0050 train_loss =  0.69660 val_roc_score =  0.69143 average_precision_score =  0.70633 time= 0.03789
Epoch: 0051 train_loss =  0.68874 val_roc_score =  0.64100 average_precision_score =  0.69045 time= 0.03872
Epoch: 0052 train_loss =  0.68779 val_roc_score =  0.67075 average_precision_score =  0.68620 time= 0.03844
Epoch: 0053 train_loss =  0.68384 val_roc_score =  0.70512 average_precision_score =  0.72459 time= 0.03730
Epoch: 0054 train_loss =  0.68366 val_roc_score =  0.72571 average_precision_score =  0.73603 time= 0.03849
Epoch: 0055 train_loss =  0.67783 val_roc_score =  0.68571 average_precision_score =  0.69141 time= 0.03881
Epoch: 0056 train_loss =  0.67328 val_roc_score =  0.65587 average_precision_score =  0.69200 time= 0.03756
Epoch: 0057 train_loss =  0.67189 val_roc_score =  0.72916 average_precision_score =  0.73397 time= 0.03844
Epoch: 0058 train_loss =  0.66198 val_roc_score =  0.73497 average_precision_score =  0.73537 time= 0.04334
Epoch: 0059 train_loss =  0.65202 val_roc_score =  0.75247 average_precision_score =  0.75611 time= 0.04938
Epoch: 0060 train_loss =  0.65456 val_roc_score =  0.71401 average_precision_score =  0.70274 time= 0.04079
Epoch: 0061 train_loss =  0.63872 val_roc_score =  0.74395 average_precision_score =  0.73630 time= 0.03816
Epoch: 0062 train_loss =  0.63872 val_roc_score =  0.70476 average_precision_score =  0.70123 time= 0.03791
Epoch: 0063 train_loss =  0.63663 val_roc_score =  0.69850 average_precision_score =  0.70532 time= 0.03690
Epoch: 0064 train_loss =  0.63767 val_roc_score =  0.70694 average_precision_score =  0.69730 time= 0.03680
Epoch: 0065 train_loss =  0.63769 val_roc_score =  0.69506 average_precision_score =  0.69779 time= 0.03767
Epoch: 0066 train_loss =  0.63715 val_roc_score =  0.69633 average_precision_score =  0.70085 time= 0.03783
Epoch: 0067 train_loss =  0.63563 val_roc_score =  0.70739 average_precision_score =  0.71542 time= 0.03763
Epoch: 0068 train_loss =  0.63876 val_roc_score =  0.71175 average_precision_score =  0.71847 time= 0.03710
Epoch: 0069 train_loss =  0.62908 val_roc_score =  0.71574 average_precision_score =  0.70727 time= 0.03640
Epoch: 0070 train_loss =  0.62233 val_roc_score =  0.73070 average_precision_score =  0.73548 time= 0.03650
Epoch: 0071 train_loss =  0.62164 val_roc_score =  0.70902 average_precision_score =  0.72757 time= 0.03718
Epoch: 0072 train_loss =  0.61873 val_roc_score =  0.73914 average_precision_score =  0.74220 time= 0.03767
Epoch: 0073 train_loss =  0.62328 val_roc_score =  0.73297 average_precision_score =  0.73597 time= 0.03723
