nohup: ignoring input
Loading /home/shiyan/project/gnn4lp/data/cora/cora.cites node cites dataset...
Loading /home/shiyan/project/gnn4lp/data/cora/cora.content node features dataset...
create model ...
start training...
Epoch: 0001 train_loss =  3.23308 val_roc_score =  0.71692 average_precision_score =  0.68116 time= 0.05185
Epoch: 0002 train_loss =  3.21996 val_roc_score =  0.62753 average_precision_score =  0.63640 time= 0.04266
Epoch: 0003 train_loss =  3.22286 val_roc_score =  0.60517 average_precision_score =  0.64690 time= 0.04127
Epoch: 0004 train_loss =  3.13231 val_roc_score =  0.62304 average_precision_score =  0.69955 time= 0.04072
Epoch: 0005 train_loss =  3.16237 val_roc_score =  0.62376 average_precision_score =  0.68540 time= 0.04028
Epoch: 0006 train_loss =  3.12833 val_roc_score =  0.62821 average_precision_score =  0.69430 time= 0.04008
Epoch: 0007 train_loss =  3.05389 val_roc_score =  0.65633 average_precision_score =  0.70372 time= 0.04041
Epoch: 0008 train_loss =  3.01393 val_roc_score =  0.66195 average_precision_score =  0.70814 time= 0.04149
Epoch: 0009 train_loss =  2.89905 val_roc_score =  0.63039 average_precision_score =  0.68348 time= 0.04187
Epoch: 0010 train_loss =  2.83591 val_roc_score =  0.64744 average_precision_score =  0.71116 time= 0.04139
Epoch: 0011 train_loss =  2.71736 val_roc_score =  0.66558 average_precision_score =  0.69248 time= 0.04093
Epoch: 0012 train_loss =  2.63695 val_roc_score =  0.64317 average_precision_score =  0.70455 time= 0.04111
Epoch: 0013 train_loss =  2.50964 val_roc_score =  0.63946 average_precision_score =  0.69720 time= 0.04055
Epoch: 0014 train_loss =  2.38043 val_roc_score =  0.60599 average_precision_score =  0.68532 time= 0.04036
Epoch: 0015 train_loss =  2.29239 val_roc_score =  0.60009 average_precision_score =  0.67684 time= 0.04158
Epoch: 0016 train_loss =  2.19202 val_roc_score =  0.64209 average_precision_score =  0.69975 time= 0.04144
Epoch: 0017 train_loss =  2.08655 val_roc_score =  0.67624 average_precision_score =  0.70911 time= 0.04227
Epoch: 0018 train_loss =  2.00679 val_roc_score =  0.62422 average_precision_score =  0.68442 time= 0.04166
Epoch: 0019 train_loss =  1.91990 val_roc_score =  0.63392 average_precision_score =  0.69627 time= 0.04153
Epoch: 0020 train_loss =  1.83247 val_roc_score =  0.69569 average_precision_score =  0.72995 time= 0.04109
Epoch: 0021 train_loss =  1.76076 val_roc_score =  0.63891 average_precision_score =  0.69490 time= 0.04151
Epoch: 0022 train_loss =  1.68184 val_roc_score =  0.67302 average_precision_score =  0.69821 time= 0.04223
Epoch: 0023 train_loss =  1.62206 val_roc_score =  0.66231 average_precision_score =  0.70691 time= 0.04196
Epoch: 0024 train_loss =  1.56541 val_roc_score =  0.67156 average_precision_score =  0.70025 time= 0.04193
Epoch: 0025 train_loss =  1.49053 val_roc_score =  0.64517 average_precision_score =  0.69315 time= 0.04165
Epoch: 0026 train_loss =  1.43333 val_roc_score =  0.67247 average_precision_score =  0.72632 time= 0.04196
Epoch: 0027 train_loss =  1.37261 val_roc_score =  0.64807 average_precision_score =  0.69628 time= 0.04114
Epoch: 0028 train_loss =  1.30958 val_roc_score =  0.62975 average_precision_score =  0.69450 time= 0.04060
Epoch: 0029 train_loss =  1.30504 val_roc_score =  0.62467 average_precision_score =  0.67861 time= 0.04171
Epoch: 0030 train_loss =  1.23582 val_roc_score =  0.64980 average_precision_score =  0.69378 time= 0.04191
Epoch: 0031 train_loss =  1.19723 val_roc_score =  0.67392 average_precision_score =  0.71480 time= 0.04203
Epoch: 0032 train_loss =  1.14033 val_roc_score =  0.64109 average_precision_score =  0.68741 time= 0.04170
Epoch: 0033 train_loss =  1.11231 val_roc_score =  0.65678 average_precision_score =  0.68354 time= 0.04090
Epoch: 0034 train_loss =  1.07110 val_roc_score =  0.65469 average_precision_score =  0.71148 time= 0.04205
Epoch: 0035 train_loss =  1.05323 val_roc_score =  0.62639 average_precision_score =  0.68849 time= 0.04133
Epoch: 0036 train_loss =  1.01761 val_roc_score =  0.65478 average_precision_score =  0.71889 time= 0.04213
Epoch: 0037 train_loss =  0.98358 val_roc_score =  0.67710 average_precision_score =  0.73754 time= 0.04139
Epoch: 0038 train_loss =  0.95660 val_roc_score =  0.66059 average_precision_score =  0.69873 time= 0.04165
Epoch: 0039 train_loss =  0.92201 val_roc_score =  0.65025 average_precision_score =  0.71140 time= 0.04118
Epoch: 0040 train_loss =  0.91223 val_roc_score =  0.65488 average_precision_score =  0.70675 time= 0.04040
Epoch: 0041 train_loss =  0.87976 val_roc_score =  0.67692 average_precision_score =  0.72407 time= 0.03995
Epoch: 0042 train_loss =  0.87371 val_roc_score =  0.60200 average_precision_score =  0.67446 time= 0.04138
Epoch: 0043 train_loss =  0.84581 val_roc_score =  0.66721 average_precision_score =  0.72273 time= 0.04205
