nohup: ignoring input
Loading /home/shiyan/project/gnn4lp/data/cora/cora.cites node cites dataset...
Loading /home/shiyan/project/gnn4lp/data/cora/cora.content node features dataset...
create model ...
start training...
Epoch: 0001 train_loss =  1.84085 val_roc_score =  0.76662 average_precision_score =  0.75297 time= 0.05835
Epoch: 0002 train_loss =  1.69261 val_roc_score =  0.65878 average_precision_score =  0.67844 time= 0.04820
Epoch: 0003 train_loss =  1.57833 val_roc_score =  0.67120 average_precision_score =  0.69831 time= 0.04713
Epoch: 0004 train_loss =  1.42924 val_roc_score =  0.66585 average_precision_score =  0.69475 time= 0.04745
Epoch: 0005 train_loss =  1.32905 val_roc_score =  0.63293 average_precision_score =  0.66214 time= 0.04666
Epoch: 0006 train_loss =  1.28079 val_roc_score =  0.56816 average_precision_score =  0.61383 time= 0.04737
Epoch: 0007 train_loss =  1.14434 val_roc_score =  0.64744 average_precision_score =  0.67913 time= 0.04831
Epoch: 0008 train_loss =  1.01185 val_roc_score =  0.64132 average_precision_score =  0.66726 time= 0.04844
Epoch: 0009 train_loss =  0.91683 val_roc_score =  0.62503 average_precision_score =  0.65609 time= 0.04793
Epoch: 0010 train_loss =  0.86070 val_roc_score =  0.68825 average_precision_score =  0.69241 time= 0.04708
Epoch: 0011 train_loss =  0.81324 val_roc_score =  0.68281 average_precision_score =  0.67777 time= 0.04801
Epoch: 0012 train_loss =  0.76532 val_roc_score =  0.68952 average_precision_score =  0.72107 time= 0.04842
Epoch: 0013 train_loss =  0.73010 val_roc_score =  0.62113 average_precision_score =  0.65222 time= 0.04852
Epoch: 0014 train_loss =  0.70332 val_roc_score =  0.60200 average_precision_score =  0.60544 time= 0.04820
Epoch: 0015 train_loss =  0.69290 val_roc_score =  0.59846 average_precision_score =  0.61923 time= 0.04831
Epoch: 0016 train_loss =  0.68509 val_roc_score =  0.58494 average_precision_score =  0.61279 time= 0.04816
Epoch: 0017 train_loss =  0.68344 val_roc_score =  0.60735 average_precision_score =  0.61405 time= 0.04870
Epoch: 0018 train_loss =  0.69335 val_roc_score =  0.60408 average_precision_score =  0.64183 time= 0.04809
Epoch: 0019 train_loss =  0.68776 val_roc_score =  0.58168 average_precision_score =  0.58101 time= 0.04759
Epoch: 0020 train_loss =  0.67687 val_roc_score =  0.64354 average_precision_score =  0.65766 time= 0.04709
Epoch: 0021 train_loss =  0.68935 val_roc_score =  0.68735 average_precision_score =  0.69133 time= 0.04764
Epoch: 0022 train_loss =  0.69141 val_roc_score =  0.61152 average_precision_score =  0.62216 time= 0.04778
Epoch: 0023 train_loss =  0.68765 val_roc_score =  0.57769 average_precision_score =  0.59484 time= 0.04779
Epoch: 0024 train_loss =  0.68425 val_roc_score =  0.60635 average_precision_score =  0.61875 time= 0.04734
Epoch: 0025 train_loss =  0.68516 val_roc_score =  0.66295 average_precision_score =  0.67675 time= 0.04759
Epoch: 0026 train_loss =  0.68224 val_roc_score =  0.63420 average_precision_score =  0.63590 time= 0.04739
Epoch: 0027 train_loss =  0.67688 val_roc_score =  0.59868 average_precision_score =  0.60908 time= 0.04831
Epoch: 0028 train_loss =  0.68105 val_roc_score =  0.55918 average_precision_score =  0.57566 time= 0.05087
Epoch: 0029 train_loss =  0.68329 val_roc_score =  0.53850 average_precision_score =  0.55089 time= 0.05964
Epoch: 0030 train_loss =  0.68122 val_roc_score =  0.58032 average_precision_score =  0.57682 time= 0.04967
Epoch: 0031 train_loss =  0.68032 val_roc_score =  0.58240 average_precision_score =  0.57899 time= 0.04801
Epoch: 0032 train_loss =  0.67693 val_roc_score =  0.63950 average_precision_score =  0.63408 time= 0.04811
Epoch: 0033 train_loss =  0.67664 val_roc_score =  0.62921 average_precision_score =  0.65391 time= 0.04856
Epoch: 0034 train_loss =  0.67974 val_roc_score =  0.57905 average_precision_score =  0.59675 time= 0.04854
Epoch: 0035 train_loss =  0.67568 val_roc_score =  0.62204 average_precision_score =  0.64047 time= 0.04839
Epoch: 0036 train_loss =  0.67565 val_roc_score =  0.61306 average_precision_score =  0.63772 time= 0.04759
Epoch: 0037 train_loss =  0.67762 val_roc_score =  0.59274 average_precision_score =  0.56535 time= 0.04741
Epoch: 0038 train_loss =  0.67429 val_roc_score =  0.53633 average_precision_score =  0.54139 time= 0.04712
Epoch: 0039 train_loss =  0.67946 val_roc_score =  0.63111 average_precision_score =  0.62762 time= 0.04700
Epoch: 0040 train_loss =  0.68261 val_roc_score =  0.57229 average_precision_score =  0.59807 time= 0.04689
Epoch: 0041 train_loss =  0.67069 val_roc_score =  0.60617 average_precision_score =  0.58247 time= 0.04677
Epoch: 0042 train_loss =  0.67321 val_roc_score =  0.59238 average_precision_score =  0.55142 time= 0.04633
Epoch: 0043 train_loss =  0.67295 val_roc_score =  0.66830 average_precision_score =  0.64292 time= 0.04585
Epoch: 0044 train_loss =  0.67026 val_roc_score =  0.52082 average_precision_score =  0.52564 time= 0.04599
Epoch: 0045 train_loss =  0.66705 val_roc_score =  0.62313 average_precision_score =  0.62118 time= 0.04612
Epoch: 0046 train_loss =  0.66837 val_roc_score =  0.63483 average_precision_score =  0.66527 time= 0.04583
Epoch: 0047 train_loss =  0.66514 val_roc_score =  0.62848 average_precision_score =  0.62590 time= 0.04577
Epoch: 0048 train_loss =  0.65488 val_roc_score =  0.58485 average_precision_score =  0.58678 time= 0.04653
Epoch: 0049 train_loss =  0.65932 val_roc_score =  0.73714 average_precision_score =  0.73550 time= 0.04857
Epoch: 0050 train_loss =  0.65290 val_roc_score =  0.60327 average_precision_score =  0.62744 time= 0.04731
Epoch: 0051 train_loss =  0.66121 val_roc_score =  0.64617 average_precision_score =  0.61311 time= 0.04825
Epoch: 0052 train_loss =  0.64535 val_roc_score =  0.66857 average_precision_score =  0.69523 time= 0.04834
Epoch: 0053 train_loss =  0.63766 val_roc_score =  0.70721 average_precision_score =  0.70770 time= 0.04733
Epoch: 0054 train_loss =  0.63115 val_roc_score =  0.69098 average_precision_score =  0.70588 time= 0.04806
Epoch: 0055 train_loss =  0.63482 val_roc_score =  0.69116 average_precision_score =  0.67842 time= 0.04891
Epoch: 0056 train_loss =  0.62473 val_roc_score =  0.69215 average_precision_score =  0.70699 time= 0.04757
Epoch: 0057 train_loss =  0.61124 val_roc_score =  0.68317 average_precision_score =  0.68864 time= 0.04671
Epoch: 0058 train_loss =  0.61341 val_roc_score =  0.71710 average_precision_score =  0.71170 time= 0.04656
Epoch: 0059 train_loss =  0.60947 val_roc_score =  0.70095 average_precision_score =  0.71137 time= 0.04748
Epoch: 0060 train_loss =  0.60603 val_roc_score =  0.67492 average_precision_score =  0.67818 time= 0.04774
Epoch: 0061 train_loss =  0.60393 val_roc_score =  0.68073 average_precision_score =  0.69768 time= 0.04745
Epoch: 0062 train_loss =  0.59873 val_roc_score =  0.69361 average_precision_score =  0.66985 time= 0.04745
Epoch: 0063 train_loss =  0.60120 val_roc_score =  0.70757 average_precision_score =  0.72152 time= 0.04781
Epoch: 0064 train_loss =  0.59754 val_roc_score =  0.70095 average_precision_score =  0.68422 time= 0.04701
Epoch: 0065 train_loss =  0.59489 val_roc_score =  0.71927 average_precision_score =  0.72944 time= 0.04671
Epoch: 0066 train_loss =  0.59250 val_roc_score =  0.72426 average_precision_score =  0.71583 time= 0.04634
Epoch: 0067 train_loss =  0.59231 val_roc_score =  0.68145 average_precision_score =  0.69550 time= 0.04630
Epoch: 0068 train_loss =  0.59146 val_roc_score =  0.71211 average_precision_score =  0.69351 time= 0.04592
Epoch: 0069 train_loss =  0.58779 val_roc_score =  0.69596 average_precision_score =  0.69731 time= 0.04657
Epoch: 0070 train_loss =  0.58798 val_roc_score =  0.71320 average_precision_score =  0.71238 time= 0.04643
Epoch: 0071 train_loss =  0.58613 val_roc_score =  0.71628 average_precision_score =  0.70374 time= 0.04701
Epoch: 0072 train_loss =  0.58877 val_roc_score =  0.68091 average_precision_score =  0.67369 time= 0.04627
Epoch: 0073 train_loss =  0.58366 val_roc_score =  0.72045 average_precision_score =  0.73543 time= 0.04703
Epoch: 0074 train_loss =  0.58204 val_roc_score =  0.69615 average_precision_score =  0.66857 time= 0.04746
Epoch: 0075 train_loss =  0.58426 val_roc_score =  0.69814 average_precision_score =  0.68262 time= 0.04712
Epoch: 0076 train_loss =  0.57856 val_roc_score =  0.70694 average_precision_score =  0.70694 time= 0.04616
Epoch: 0077 train_loss =  0.57693 val_roc_score =  0.72517 average_precision_score =  0.73185 time= 0.04610
Epoch: 0078 train_loss =  0.57974 val_roc_score =  0.71646 average_precision_score =  0.70589 time= 0.04690
Epoch: 0079 train_loss =  0.58250 val_roc_score =  0.72580 average_precision_score =  0.73447 time= 0.04706
Epoch: 0080 train_loss =  0.57574 val_roc_score =  0.73406 average_precision_score =  0.74637 time= 0.04640
Epoch: 0081 train_loss =  0.58506 val_roc_score =  0.71347 average_precision_score =  0.69627 time= 0.04616
Epoch: 0082 train_loss =  0.57827 val_roc_score =  0.74213 average_precision_score =  0.73748 time= 0.04641
