nohup: ignoring input
Loading /home/shiyan/project/gnn4lp/data/cora/cora.cites node cites dataset...
Loading /home/shiyan/project/gnn4lp/data/cora/cora.content node features dataset...
create model ...
start training...
Epoch: 0001 train_loss =  3.24042 val_roc_score =  0.65506 average_precision_score =  0.68225 time= 0.06173
Epoch: 0002 train_loss =  3.10183 val_roc_score =  0.61510 average_precision_score =  0.61691 time= 0.05166
Epoch: 0003 train_loss =  3.03215 val_roc_score =  0.66231 average_precision_score =  0.67865 time= 0.05121
Epoch: 0004 train_loss =  2.89972 val_roc_score =  0.60893 average_precision_score =  0.64447 time= 0.05085
Epoch: 0005 train_loss =  2.89769 val_roc_score =  0.63565 average_precision_score =  0.67247 time= 0.05279
Epoch: 0006 train_loss =  2.83548 val_roc_score =  0.65923 average_precision_score =  0.67861 time= 0.06448
Epoch: 0007 train_loss =  2.72226 val_roc_score =  0.62803 average_precision_score =  0.66921 time= 0.05345
Epoch: 0008 train_loss =  2.63545 val_roc_score =  0.65134 average_precision_score =  0.65265 time= 0.05144
Epoch: 0009 train_loss =  2.57887 val_roc_score =  0.62231 average_precision_score =  0.64895 time= 0.05173
Epoch: 0010 train_loss =  2.51244 val_roc_score =  0.64608 average_precision_score =  0.67416 time= 0.05195
Epoch: 0011 train_loss =  2.46354 val_roc_score =  0.64907 average_precision_score =  0.66695 time= 0.05186
Epoch: 0012 train_loss =  2.37780 val_roc_score =  0.65823 average_precision_score =  0.69296 time= 0.05162
Epoch: 0013 train_loss =  2.27843 val_roc_score =  0.67909 average_precision_score =  0.68625 time= 0.05206
Epoch: 0014 train_loss =  2.20203 val_roc_score =  0.64444 average_precision_score =  0.66345 time= 0.05121
Epoch: 0015 train_loss =  2.12197 val_roc_score =  0.68045 average_precision_score =  0.66979 time= 0.05050
Epoch: 0016 train_loss =  2.05777 val_roc_score =  0.70739 average_precision_score =  0.71841 time= 0.05076
Epoch: 0017 train_loss =  1.99332 val_roc_score =  0.66576 average_precision_score =  0.66540 time= 0.05054
Epoch: 0018 train_loss =  1.93890 val_roc_score =  0.67401 average_precision_score =  0.69023 time= 0.04981
Epoch: 0019 train_loss =  1.88184 val_roc_score =  0.65832 average_precision_score =  0.71155 time= 0.04933
Epoch: 0020 train_loss =  1.82527 val_roc_score =  0.65324 average_precision_score =  0.66293 time= 0.04942
Epoch: 0021 train_loss =  1.78641 val_roc_score =  0.63918 average_precision_score =  0.68978 time= 0.04965
Epoch: 0022 train_loss =  1.73425 val_roc_score =  0.66739 average_precision_score =  0.68073 time= 0.04952
Epoch: 0023 train_loss =  1.68600 val_roc_score =  0.70649 average_precision_score =  0.70947 time= 0.04924
Epoch: 0024 train_loss =  1.63488 val_roc_score =  0.70059 average_precision_score =  0.70390 time= 0.04937
Epoch: 0025 train_loss =  1.57762 val_roc_score =  0.69415 average_precision_score =  0.67752 time= 0.04974
Epoch: 0026 train_loss =  1.53560 val_roc_score =  0.62957 average_precision_score =  0.65090 time= 0.05031
Epoch: 0027 train_loss =  1.47423 val_roc_score =  0.65424 average_precision_score =  0.66120 time= 0.05095
Epoch: 0028 train_loss =  1.39678 val_roc_score =  0.68145 average_precision_score =  0.72504 time= 0.05139
Epoch: 0029 train_loss =  1.36055 val_roc_score =  0.66785 average_precision_score =  0.68763 time= 0.05130
Epoch: 0030 train_loss =  1.32358 val_roc_score =  0.65687 average_precision_score =  0.66993 time= 0.05238
Epoch: 0031 train_loss =  1.26422 val_roc_score =  0.64354 average_precision_score =  0.65844 time= 0.05207
Epoch: 0032 train_loss =  1.21681 val_roc_score =  0.63673 average_precision_score =  0.66250 time= 0.05219
Epoch: 0033 train_loss =  1.18209 val_roc_score =  0.64299 average_precision_score =  0.63445 time= 0.05243
Epoch: 0034 train_loss =  1.16177 val_roc_score =  0.67773 average_precision_score =  0.68325 time= 0.05094
Epoch: 0035 train_loss =  1.08185 val_roc_score =  0.63084 average_precision_score =  0.63731 time= 0.05075
Epoch: 0036 train_loss =  1.08274 val_roc_score =  0.63029 average_precision_score =  0.67172 time= 0.05014
