nohup: ignoring input
Loading /home/shiyan/project/gnn4lp/data/cora/cora.cites node cites dataset...
Loading /home/shiyan/project/gnn4lp/data/cora/cora.content node features dataset...
create model ...
start training...
Epoch: 0001 train_loss =  1.88029 val_roc_score =  0.67619 average_precision_score =  0.68427 time= 0.04617
Epoch: 0002 train_loss =  1.82514 val_roc_score =  0.65864 average_precision_score =  0.70265 time= 0.03716
Epoch: 0003 train_loss =  1.79812 val_roc_score =  0.67628 average_precision_score =  0.70196 time= 0.03747
Epoch: 0004 train_loss =  1.78320 val_roc_score =  0.71633 average_precision_score =  0.73532 time= 0.03746
Epoch: 0005 train_loss =  1.72118 val_roc_score =  0.72263 average_precision_score =  0.74840 time= 0.03620
Epoch: 0006 train_loss =  1.74287 val_roc_score =  0.69333 average_precision_score =  0.72566 time= 0.03605
Epoch: 0007 train_loss =  1.68243 val_roc_score =  0.71048 average_precision_score =  0.73796 time= 0.03545
Epoch: 0008 train_loss =  1.67151 val_roc_score =  0.71184 average_precision_score =  0.74005 time= 0.03655
Epoch: 0009 train_loss =  1.64748 val_roc_score =  0.69633 average_precision_score =  0.73064 time= 0.03750
Epoch: 0010 train_loss =  1.54609 val_roc_score =  0.71283 average_precision_score =  0.73400 time= 0.03693
Epoch: 0011 train_loss =  1.55056 val_roc_score =  0.69687 average_precision_score =  0.72978 time= 0.03590
Epoch: 0012 train_loss =  1.47638 val_roc_score =  0.73070 average_precision_score =  0.74108 time= 0.03664
Epoch: 0013 train_loss =  1.43058 val_roc_score =  0.68762 average_precision_score =  0.72060 time= 0.03557
Epoch: 0014 train_loss =  1.38055 val_roc_score =  0.73605 average_precision_score =  0.74886 time= 0.03665
Epoch: 0015 train_loss =  1.33442 val_roc_score =  0.70385 average_precision_score =  0.72517 time= 0.03584
Epoch: 0016 train_loss =  1.25437 val_roc_score =  0.74041 average_precision_score =  0.74703 time= 0.03573
Epoch: 0017 train_loss =  1.21075 val_roc_score =  0.70794 average_precision_score =  0.72972 time= 0.03533
Epoch: 0018 train_loss =  1.14791 val_roc_score =  0.71120 average_precision_score =  0.72767 time= 0.03507
Epoch: 0019 train_loss =  1.10278 val_roc_score =  0.69778 average_precision_score =  0.72425 time= 0.03511
Epoch: 0020 train_loss =  1.04900 val_roc_score =  0.69741 average_precision_score =  0.71216 time= 0.03613
Epoch: 0021 train_loss =  1.01442 val_roc_score =  0.72553 average_precision_score =  0.75222 time= 0.03642
Epoch: 0022 train_loss =  0.96664 val_roc_score =  0.71565 average_precision_score =  0.73889 time= 0.03611
Epoch: 0023 train_loss =  0.92773 val_roc_score =  0.68590 average_precision_score =  0.72675 time= 0.03598
Epoch: 0024 train_loss =  0.88463 val_roc_score =  0.72036 average_precision_score =  0.74064 time= 0.03528
Epoch: 0025 train_loss =  0.85211 val_roc_score =  0.65605 average_precision_score =  0.68482 time= 0.03608
Epoch: 0026 train_loss =  0.82746 val_roc_score =  0.68562 average_precision_score =  0.70916 time= 0.03631
Epoch: 0027 train_loss =  0.80468 val_roc_score =  0.67483 average_precision_score =  0.69602 time= 0.03617
Epoch: 0028 train_loss =  0.78600 val_roc_score =  0.73705 average_precision_score =  0.74471 time= 0.03658
Epoch: 0029 train_loss =  0.77039 val_roc_score =  0.71583 average_precision_score =  0.74378 time= 0.03598
Epoch: 0030 train_loss =  0.75552 val_roc_score =  0.71773 average_precision_score =  0.74242 time= 0.03555
Epoch: 0031 train_loss =  0.74576 val_roc_score =  0.71338 average_precision_score =  0.73863 time= 0.03683
Epoch: 0032 train_loss =  0.73735 val_roc_score =  0.71429 average_precision_score =  0.72545 time= 0.03640
Epoch: 0033 train_loss =  0.73384 val_roc_score =  0.73605 average_precision_score =  0.75179 time= 0.03602
Epoch: 0034 train_loss =  0.72728 val_roc_score =  0.73152 average_precision_score =  0.74393 time= 0.03582
Epoch: 0035 train_loss =  0.72563 val_roc_score =  0.72308 average_precision_score =  0.73694 time= 0.03538
Epoch: 0036 train_loss =  0.71701 val_roc_score =  0.72463 average_precision_score =  0.74487 time= 0.03569
Epoch: 0037 train_loss =  0.71680 val_roc_score =  0.71519 average_precision_score =  0.72348 time= 0.03642
Epoch: 0038 train_loss =  0.71688 val_roc_score =  0.71955 average_precision_score =  0.73949 time= 0.04073
Epoch: 0039 train_loss =  0.71259 val_roc_score =  0.73741 average_precision_score =  0.74044 time= 0.04110
Epoch: 0040 train_loss =  0.71427 val_roc_score =  0.73406 average_precision_score =  0.74579 time= 0.04063
Epoch: 0041 train_loss =  0.71288 val_roc_score =  0.72907 average_precision_score =  0.74554 time= 0.04219
Epoch: 0042 train_loss =  0.71357 val_roc_score =  0.73796 average_precision_score =  0.75539 time= 0.04248
Epoch: 0043 train_loss =  0.71422 val_roc_score =  0.73342 average_precision_score =  0.74882 time= 0.04117
Epoch: 0044 train_loss =  0.71377 val_roc_score =  0.71211 average_precision_score =  0.73282 time= 0.04109
Epoch: 0045 train_loss =  0.71341 val_roc_score =  0.72571 average_precision_score =  0.74331 time= 0.04112
Epoch: 0046 train_loss =  0.71658 val_roc_score =  0.72535 average_precision_score =  0.74592 time= 0.04203
Epoch: 0047 train_loss =  0.71376 val_roc_score =  0.70249 average_precision_score =  0.71497 time= 0.04161
Epoch: 0048 train_loss =  0.71640 val_roc_score =  0.71719 average_precision_score =  0.73621 time= 0.04093
Epoch: 0049 train_loss =  0.71613 val_roc_score =  0.71927 average_precision_score =  0.74796 time= 0.04122
Epoch: 0050 train_loss =  0.71433 val_roc_score =  0.73415 average_precision_score =  0.75935 time= 0.04041
Epoch: 0051 train_loss =  0.71391 val_roc_score =  0.72825 average_precision_score =  0.75033 time= 0.04229
Epoch: 0052 train_loss =  0.71294 val_roc_score =  0.72553 average_precision_score =  0.73542 time= 0.04237
Epoch: 0053 train_loss =  0.71504 val_roc_score =  0.72417 average_precision_score =  0.73721 time= 0.04243
Epoch: 0054 train_loss =  0.71452 val_roc_score =  0.71601 average_precision_score =  0.74125 time= 0.04360
Epoch: 0055 train_loss =  0.71201 val_roc_score =  0.73560 average_precision_score =  0.75739 time= 0.04342
Epoch: 0056 train_loss =  0.71286 val_roc_score =  0.70975 average_precision_score =  0.73449 time= 0.04350
Epoch: 0057 train_loss =  0.71043 val_roc_score =  0.71646 average_precision_score =  0.73587 time= 0.04284
Epoch: 0058 train_loss =  0.71297 val_roc_score =  0.67664 average_precision_score =  0.71273 time= 0.04265
Epoch: 0059 train_loss =  0.71269 val_roc_score =  0.69905 average_precision_score =  0.73426 time= 0.04187
Epoch: 0060 train_loss =  0.71369 val_roc_score =  0.71456 average_precision_score =  0.73633 time= 0.04202
Epoch: 0061 train_loss =  0.71234 val_roc_score =  0.72100 average_precision_score =  0.74482 time= 0.04345
Epoch: 0062 train_loss =  0.71251 val_roc_score =  0.70385 average_precision_score =  0.74166 time= 0.04158
Epoch: 0063 train_loss =  0.71065 val_roc_score =  0.70902 average_precision_score =  0.73894 time= 0.04143
Epoch: 0064 train_loss =  0.71018 val_roc_score =  0.70630 average_precision_score =  0.74198 time= 0.04059
Epoch: 0065 train_loss =  0.71240 val_roc_score =  0.73923 average_precision_score =  0.75103 time= 0.04074
Epoch: 0066 train_loss =  0.70915 val_roc_score =  0.70476 average_precision_score =  0.73036 time= 0.04234
Epoch: 0067 train_loss =  0.70872 val_roc_score =  0.69197 average_precision_score =  0.72577 time= 0.04119
Epoch: 0068 train_loss =  0.70733 val_roc_score =  0.69025 average_precision_score =  0.73440 time= 0.04173
Epoch: 0069 train_loss =  0.71039 val_roc_score =  0.71283 average_precision_score =  0.74354 time= 0.04104
Epoch: 0070 train_loss =  0.70801 val_roc_score =  0.69116 average_precision_score =  0.72728 time= 0.04070
Epoch: 0071 train_loss =  0.70755 val_roc_score =  0.69542 average_precision_score =  0.74349 time= 0.04190
Epoch: 0072 train_loss =  0.70737 val_roc_score =  0.67610 average_precision_score =  0.71828 time= 0.04111
Epoch: 0073 train_loss =  0.70180 val_roc_score =  0.65587 average_precision_score =  0.70529 time= 0.04067
Epoch: 0074 train_loss =  0.70460 val_roc_score =  0.69424 average_precision_score =  0.73547 time= 0.04063
Epoch: 0075 train_loss =  0.70387 val_roc_score =  0.65905 average_precision_score =  0.69524 time= 0.04127
Epoch: 0076 train_loss =  0.70132 val_roc_score =  0.68580 average_precision_score =  0.71955 time= 0.04109
Epoch: 0077 train_loss =  0.69975 val_roc_score =  0.66367 average_precision_score =  0.71308 time= 0.04149
Epoch: 0078 train_loss =  0.70268 val_roc_score =  0.65406 average_precision_score =  0.69410 time= 0.04206
Epoch: 0079 train_loss =  0.69810 val_roc_score =  0.64980 average_precision_score =  0.69692 time= 0.04204
Epoch: 0080 train_loss =  0.69448 val_roc_score =  0.65324 average_precision_score =  0.69472 time= 0.04353
Epoch: 0081 train_loss =  0.69308 val_roc_score =  0.65624 average_precision_score =  0.69612 time= 0.04271
Epoch: 0082 train_loss =  0.69498 val_roc_score =  0.66186 average_precision_score =  0.71073 time= 0.04225
Epoch: 0083 train_loss =  0.69198 val_roc_score =  0.64989 average_precision_score =  0.69936 time= 0.04245
Epoch: 0084 train_loss =  0.68392 val_roc_score =  0.63946 average_precision_score =  0.68216 time= 0.04200
Epoch: 0085 train_loss =  0.68434 val_roc_score =  0.66440 average_precision_score =  0.70086 time= 0.04240
Epoch: 0086 train_loss =  0.67263 val_roc_score =  0.66739 average_precision_score =  0.70342 time= 0.04171
Epoch: 0087 train_loss =  0.66854 val_roc_score =  0.67356 average_precision_score =  0.70220 time= 0.04136
Epoch: 0088 train_loss =  0.66261 val_roc_score =  0.69206 average_precision_score =  0.70532 time= 0.04105
Epoch: 0089 train_loss =  0.65959 val_roc_score =  0.70512 average_precision_score =  0.72423 time= 0.04068
Epoch: 0090 train_loss =  0.65274 val_roc_score =  0.71120 average_precision_score =  0.71439 time= 0.04219
Epoch: 0091 train_loss =  0.64611 val_roc_score =  0.70830 average_precision_score =  0.71300 time= 0.04195
Epoch: 0092 train_loss =  0.63669 val_roc_score =  0.72689 average_precision_score =  0.73371 time= 0.04182
Epoch: 0093 train_loss =  0.63152 val_roc_score =  0.71147 average_precision_score =  0.70584 time= 0.04185
Epoch: 0094 train_loss =  0.62471 val_roc_score =  0.70612 average_precision_score =  0.70018 time= 0.04209
Epoch: 0095 train_loss =  0.62147 val_roc_score =  0.71800 average_precision_score =  0.71761 time= 0.04231
Epoch: 0096 train_loss =  0.61762 val_roc_score =  0.71247 average_precision_score =  0.70847 time= 0.04146
Epoch: 0097 train_loss =  0.61889 val_roc_score =  0.72000 average_precision_score =  0.72139 time= 0.04171
Epoch: 0098 train_loss =  0.61545 val_roc_score =  0.72281 average_precision_score =  0.71986 time= 0.04181
Epoch: 0099 train_loss =  0.61529 val_roc_score =  0.73152 average_precision_score =  0.73404 time= 0.04178
Epoch: 0100 train_loss =  0.61882 val_roc_score =  0.71719 average_precision_score =  0.69608 time= 0.04168
Epoch: 0101 train_loss =  0.61803 val_roc_score =  0.72200 average_precision_score =  0.73298 time= 0.04185
Epoch: 0102 train_loss =  0.61377 val_roc_score =  0.73760 average_precision_score =  0.73161 time= 0.04236
Epoch: 0103 train_loss =  0.61129 val_roc_score =  0.72408 average_precision_score =  0.72235 time= 0.04191
Epoch: 0104 train_loss =  0.61000 val_roc_score =  0.73361 average_precision_score =  0.71736 time= 0.03834
Epoch: 0105 train_loss =  0.60763 val_roc_score =  0.73878 average_precision_score =  0.73787 time= 0.03609
Epoch: 0106 train_loss =  0.60577 val_roc_score =  0.74585 average_precision_score =  0.73456 time= 0.03687
Epoch: 0107 train_loss =  0.60456 val_roc_score =  0.74957 average_precision_score =  0.73172 time= 0.03664
Epoch: 0108 train_loss =  0.60392 val_roc_score =  0.74395 average_precision_score =  0.75460 time= 0.03561
Epoch: 0109 train_loss =  0.60366 val_roc_score =  0.74213 average_precision_score =  0.73379 time= 0.03615
Epoch: 0110 train_loss =  0.60487 val_roc_score =  0.75093 average_precision_score =  0.76099 time= 0.03742
Epoch: 0111 train_loss =  0.60440 val_roc_score =  0.74522 average_precision_score =  0.75045 time= 0.03655
Epoch: 0112 train_loss =  0.60377 val_roc_score =  0.74803 average_precision_score =  0.74545 time= 0.03642
Epoch: 0113 train_loss =  0.60243 val_roc_score =  0.75610 average_precision_score =  0.76693 time= 0.03612
Epoch: 0114 train_loss =  0.60237 val_roc_score =  0.74195 average_precision_score =  0.72905 time= 0.03509
Epoch: 0115 train_loss =  0.59921 val_roc_score =  0.76263 average_precision_score =  0.74993 time= 0.03631
Epoch: 0116 train_loss =  0.59805 val_roc_score =  0.74685 average_precision_score =  0.73347 time= 0.03552
Epoch: 0117 train_loss =  0.59716 val_roc_score =  0.75628 average_precision_score =  0.74762 time= 0.03501
Epoch: 0118 train_loss =  0.59656 val_roc_score =  0.75964 average_precision_score =  0.75701 time= 0.03524
Epoch: 0119 train_loss =  0.59523 val_roc_score =  0.76336 average_precision_score =  0.76537 time= 0.03549
Epoch: 0120 train_loss =  0.59464 val_roc_score =  0.73678 average_precision_score =  0.73665 time= 0.03519
Epoch: 0121 train_loss =  0.59567 val_roc_score =  0.77034 average_precision_score =  0.76973 time= 0.03604
Epoch: 0122 train_loss =  0.59490 val_roc_score =  0.75492 average_precision_score =  0.75566 time= 0.03560
Epoch: 0123 train_loss =  0.59517 val_roc_score =  0.76363 average_precision_score =  0.76190 time= 0.03512
Epoch: 0124 train_loss =  0.59322 val_roc_score =  0.76762 average_precision_score =  0.75874 time= 0.03490
Epoch: 0125 train_loss =  0.59374 val_roc_score =  0.75528 average_precision_score =  0.75556 time= 0.03506
Epoch: 0126 train_loss =  0.59443 val_roc_score =  0.77415 average_precision_score =  0.77268 time= 0.03561
Epoch: 0127 train_loss =  0.59360 val_roc_score =  0.76290 average_precision_score =  0.73580 time= 0.03500
Epoch: 0128 train_loss =  0.59313 val_roc_score =  0.76735 average_precision_score =  0.76871 time= 0.03519
Epoch: 0129 train_loss =  0.59747 val_roc_score =  0.75619 average_precision_score =  0.76006 time= 0.03568
Epoch: 0130 train_loss =  0.59163 val_roc_score =  0.76399 average_precision_score =  0.75603 time= 0.03641
Epoch: 0131 train_loss =  0.59268 val_roc_score =  0.75692 average_precision_score =  0.73711 time= 0.03586
Epoch: 0132 train_loss =  0.59088 val_roc_score =  0.76671 average_precision_score =  0.77371 time= 0.03562
Epoch: 0133 train_loss =  0.59183 val_roc_score =  0.76735 average_precision_score =  0.77185 time= 0.03524
Epoch: 0134 train_loss =  0.59337 val_roc_score =  0.76345 average_precision_score =  0.76079 time= 0.03502
Epoch: 0135 train_loss =  0.59345 val_roc_score =  0.73887 average_precision_score =  0.73171 time= 0.03495
Epoch: 0136 train_loss =  0.59368 val_roc_score =  0.74467 average_precision_score =  0.74848 time= 0.03593
Epoch: 0137 train_loss =  0.59295 val_roc_score =  0.77170 average_precision_score =  0.76599 time= 0.03580
Epoch: 0138 train_loss =  0.59152 val_roc_score =  0.75347 average_precision_score =  0.75043 time= 0.03566
Epoch: 0139 train_loss =  0.59195 val_roc_score =  0.76408 average_precision_score =  0.74596 time= 0.03643
Epoch: 0140 train_loss =  0.59021 val_roc_score =  0.76127 average_precision_score =  0.75256 time= 0.03684
Epoch: 0141 train_loss =  0.59248 val_roc_score =  0.75347 average_precision_score =  0.74778 time= 0.03591
Epoch: 0142 train_loss =  0.59281 val_roc_score =  0.74785 average_precision_score =  0.74881 time= 0.03541
Epoch: 0143 train_loss =  0.59192 val_roc_score =  0.77488 average_precision_score =  0.78379 time= 0.03583
Epoch: 0144 train_loss =  0.59359 val_roc_score =  0.78249 average_precision_score =  0.78428 time= 0.03581
Epoch: 0145 train_loss =  0.59111 val_roc_score =  0.75138 average_precision_score =  0.74427 time= 0.03511
